config,neigh,comp,instance,run,lower,upper,midpoint
n1_HC,n1,HC,F0.15.0.la27_09,7,1189.0,1352.0,1270.5
n1_HC,n1,HC,F0.15.0.la27_09,8,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,9,1180.0,1344.0,1262.0
n1_HC,n1,HC,F0.15.0.la27_09,10,1192.0,1352.0,1272.0
n1_HC,n1,HC,F0.15.0.la27_09,11,1208.0,1366.0,1287.0
n1_HC,n1,HC,F0.15.0.la27_09,12,1208.0,1366.0,1287.0
n1_HC,n1,HC,F0.15.0.la27_09,13,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,14,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,15,1219.0,1383.0,1301.0
n1_HC,n1,HC,F0.15.0.la27_09,16,1201.0,1361.0,1281.0
n1_HC,n1,HC,F0.15.0.la27_09,17,1185.0,1343.0,1264.0
n1_HC,n1,HC,F0.15.0.la27_09,18,1184.0,1350.0,1267.0
n1_HC,n1,HC,F0.15.0.la27_09,19,1173.0,1335.0,1254.0
n1_HC,n1,HC,F0.15.0.la27_09,20,1179.0,1337.0,1258.0
n1_HC,n1,HC,F0.15.0.la27_09,21,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,22,1204.0,1364.0,1284.0
n1_HC,n1,HC,F0.15.0.la27_09,23,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,24,1186.0,1353.0,1269.5
n1_HC,n1,HC,F0.15.0.la27_09,25,1204.0,1352.0,1278.0
n1_HC,n1,HC,F0.15.0.la27_09,26,1181.0,1343.0,1262.0
n1_HC,n1,HC,F0.15.0.la27_09,27,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,28,1211.0,1374.0,1292.5
n1_HC,n1,HC,F0.15.0.la27_09,29,1206.0,1360.0,1283.0
n1_HC,n1,HC,F0.15.0.la27_09,30,1194.0,1354.0,1274.0
n1_HC,n1,HC,F0.15.0.la29_03,1,1140.0,1300.0,1220.0
n1_HC,n1,HC,F0.15.0.la29_03,2,1151.0,1303.0,1227.0
n1_HC,n1,HC,F0.15.0.la29_03,3,1128.0,1282.0,1205.0
n1_HC,n1,HC,F0.15.0.la29_03,4,1137.0,1296.0,1216.5
n1_HC,n1,HC,F0.15.0.la29_03,5,1142.0,1282.0,1212.0
n1_HC,n1,HC,F0.15.0.la29_03,6,1141.0,1303.0,1222.0
n1_HC,n1,HC,F0.15.0.la29_03,7,1158.0,1291.0,1224.5
n1_HC,n1,HC,F0.15.0.la29_03,8,1139.0,1302.0,1220.5
n1_HC,n1,HC,F0.15.0.la29_03,9,1119.0,1265.0,1192.0
n1_HC,n1,HC,F0.15.0.la29_03,10,1137.0,1296.0,1216.5
n1_HC,n1,HC,F0.15.0.la29_03,11,1124.0,1285.0,1204.5
n1_HC,n1,HC,F0.15.0.la29_03,12,1110.0,1265.0,1187.5
n1_HC,n1,HC,F0.15.0.la29_03,13,1115.0,1283.0,1199.0
n1_HC,n1,HC,F0.15.0.la29_03,14,1134.0,1299.0,1216.5
n1_HC,n1,HC,F0.15.0.la29_03,15,1155.0,1293.0,1224.0
n1_HC,n1,HC,F0.15.0.la29_03,16,1153.0,1299.0,1226.0
n1_HC,n1,HC,F0.15.0.la29_03,17,1166.0,1327.0,1246.5
n1_HC,n1,HC,F0.15.0.la29_03,18,1137.0,1303.0,1220.0
n1_HC,n1,HC,F0.15.0.la29_03,19,1155.0,1291.0,1223.0
n1_HC,n1,HC,F0.15.0.la29_03,20,1138.0,1267.0,1202.5
n1_HC,n1,HC,F0.15.0.la29_03,21,1144.0,1296.0,1220.0
n1_HC,n1,HC,F0.15.0.la29_03,22,1115.0,1276.0,1195.5
n1_HC,n1,HC,F0.15.0.la29_03,23,1127.0,1276.0,1201.5
n1_HC,n1,HC,F0.15.0.la29_03,24,1118.0,1257.0,1187.5
n1_HC,n1,HC,F0.15.0.la29_03,25,1133.0,1292.0,1212.5
n1_HC,n1,HC,F0.15.0.la29_03,26,1150.0,1309.0,1229.5
n1_HC,n1,HC,F0.15.0.la29_03,27,1128.0,1271.0,1199.5
n1_HC,n1,HC,F0.15.0.la29_03,28,1123.0,1267.0,1195.0
n1_HC,n1,HC,F0.15.0.la29_03,29,1135.0,1283.0,1209.0
n1_HC,n1,HC,F0.15.0.la29_03,30,1114.0,1280.0,1197.0
n1_HC,n1,HC,F0.15.0.la38_06,1,1180.0,1342.0,1261.0
n1_HC,n1,HC,F0.15.0.la38_06,2,1173.0,1343.0,1258.0
n1_HC,n1,HC,F0.15.0.la38_06,3,1179.0,1330.0,1254.5
n1_HC,n1,HC,F0.15.0.la38_06,4,1204.0,1339.0,1271.5
n1_HC,n1,HC,F0.15.0.la38_06,5,1192.0,1346.0,1269.0
n1_HC,n1,HC,F0.15.0.la38_06,6,1211.0,1326.0,1268.5
n1_HC,n1,HC,F0.15.0.la38_06,7,1169.0,1318.0,1243.5
n1_HC,n1,HC,F0.15.0.la38_06,8,1163.0,1316.0,1239.5
n1_HC,n1,HC,F0.15.0.la38_06,9,1175.0,1344.0,1259.5
n1_HC,n1,HC,F0.15.0.la38_06,10,1159.0,1339.0,1249.0
n1_HC,n1,HC,F0.15.0.la38_06,11,1148.0,1296.0,1222.0
n1_HC,n1,HC,F0.15.0.la38_06,12,1196.0,1328.0,1262.0
