neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n2,tai50_20_01.F.15_01,tai50_20,30,2881.5,2920.55,23.1268,541.953
n2,tai50_20_02.F.15_01,tai50_20,30,2974.0,3012.9667,19.9862,459.851
n2,tai50_20_03.F.15_01,tai50_20,30,2767.5,2801.6833,26.4906,544.61
n2,tai50_20_04.F.15_01,tai50_20,30,2718.0,2742.45,14.5947,520.632
n2,tai50_20_05.F.15_01,tai50_20,30,2757.5,2782.7833,18.9203,574.055
n2,tai50_20_06.F.15_01,tai50_20,30,2879.0,2903.4333,17.9111,527.375
n2,tai50_20_07.F.15_01,tai50_20,30,2855.5,2890.0833,23.1852,584.921
n2,tai50_20_08.F.15_01,tai50_20,30,2792.0,2814.5833,16.1021,421.109
n2,tai50_20_09.F.15_01,tai50_20,30,3071.0,3074.65,7.6532,439.524
n2,tai50_20_10.F.15_01,tai50_20,30,3042.5,3070.9,15.9867,663.672
n3,F0.15.0.abz7_06,abz7,30,671.0,681.1167,4.5004,145.43
n3,F0.15.0.abz8_05,abz8,30,683.0,696.5667,5.661,168.883
n3,F0.15.0.abz9_10,abz9,30,706.0,721.8667,7.5486,158.094
n3,F0.15.0.ft10_10,ft10,30,935.5,953.2167,11.9775,28.641
n3,F0.15.0.ft20_05,ft20,30,1173.0,1180.0333,4.3667,31.258
n3,F0.15.0.la21_04,la21,30,1057.5,1079.0667,13.956,52.688
n3,F0.15.0.la24_03,la24,30,944.0,953.7833,5.9563,42.68
n3,F0.15.0.la25_04,la25,30,984.5,999.7333,11.0872,38.367
n3,F0.15.0.la27_09,la27,30,1256.5,1271.5333,7.9404,71.703
n3,F0.15.0.la29_03,la29,30,1201.5,1222.6,11.5388,82.898
n3,F0.15.0.la38_06,la38,30,1204.5,1239.5833,14.5514,84.117
n3,F0.15.0.la40_05,la40,30,1233.5,1244.9,7.9138,82.516
n3,tai15_15_01.F.15_01,tai15_15,30,1246.5,1264.0167,8.5918,78.93
n3,tai15_15_02.F.15_01,tai15_15,30,1258.0,1276.25,7.5746,75.094
n3,tai15_15_03.F.15_01,tai15_15,30,1240.0,1258.0167,11.479,90.547
n3,tai15_15_04.F.15_01,tai15_15,30,1193.0,1211.6833,12.631,68.562
n3,tai15_15_05.F.15_01,tai15_15,30,1248.0,1259.1,9.0995,79.547
n3,tai15_15_06.F.15_01,tai15_15,30,1259.5,1278.2667,9.9652,83.75
n3,tai15_15_07.F.15_01,tai15_15,30,1242.0,1260.9167,7.7694,67.367
n3,tai15_15_08.F.15_01,tai15_15,30,1231.0,1249.5667,15.3459,77.609
n3,tai15_15_09.F.15_01,tai15_15,30,1307.5,1327.7333,13.3873,64.484
n3,tai15_15_10.F.15_01,tai15_15,30,1273.5,1290.3167,6.2263,72.734
n3,tai20_15_01.F.15_01,tai20_15,30,1419.5,1441.6667,11.9664,174.75
n3,tai20_15_02.F.15_01,tai20_15,30,1394.0,1416.6,14.3223,184.734
n3,tai20_15_03.F.15_01,tai20_15,30,1391.0,1414.2833,12.843,174.937
n3,tai20_15_04.F.15_01,tai20_15,30,1367.5,1379.8167,8.9399,139.555
n3,tai20_15_05.F.15_01,tai20_15,30,1389.0,1410.2333,10.1927,179.461
n3,tai20_15_06.F.15_01,tai20_15,30,1404.5,1434.2833,15.1707,165.953
n3,tai20_15_07.F.15_01,tai20_15,30,1507.0,1534.25,17.5944,169.094
n3,tai20_15_08.F.15_01,tai20_15,30,1469.5,1495.05,12.247,155.43
n3,tai20_15_09.F.15_01,tai20_15,30,1405.0,1427.1667,13.7949,194.68
n3,tai20_15_10.F.15_01,tai20_15,30,1385.0,1412.0167,11.1367,181.93
n3,tai20_20_01.F.15_01,tai20_20,30,1694.0,1723.25,15.3661,249.141
n3,tai20_20_02.F.15_01,tai20_20,30,1646.5,1675.1,14.6978,282.562
n3,tai20_20_03.F.15_01,tai20_20,30,1600.0,1637.0833,13.4978,281.508
n3,tai20_20_04.F.15_01,tai20_20,30,1689.0,1708.9,15.976,207.344
n3,tai20_20_05.F.15_01,tai20_20,30,1655.0,1681.65,14.1721,266.445
n3,tai20_20_06.F.15_01,tai20_20,30,1714.5,1744.75,13.7105,233.047
n3,tai20_20_07.F.15_01,tai20_20,30,1718.5,1767.2333,19.572,258.453
n3,tai20_20_08.F.15_01,tai20_20,30,1639.5,1669.1333,10.5838,333.016
n3,tai20_20_09.F.15_01,tai20_20,30,1656.0,1675.4333,12.4352,282.898
n3,tai20_20_10.F.15_01,tai20_20,30,1636.5,1657.75,11.1994,311.75
n3,tai30_15_01.F.15_01,tai30_15,30,1810.5,1857.55,22.0592,369.743
n3,tai30_15_02.F.15_01,tai30_15,30,1885.0,1924.5,24.3884,563.274
n3,tai30_15_03.F.15_01,tai30_15,30,1881.0,1915.05,16.3925,524.18
n3,tai30_15_04.F.15_01,tai30_15,30,1922.5,1953.5333,14.0141,421.625
n3,tai30_15_05.F.15_01,tai30_15,30,2011.5,2031.8667,12.8398,241.336
n3,tai30_15_06.F.15_01,tai30_15,30,1895.5,1930.2333,19.5323,470.274
n3,tai30_15_07.F.15_01,tai30_15,30,1852.0,1874.65,16.4773,559.555
n3,tai30_15_08.F.15_01,tai30_15,30,1766.5,1788.7667,15.4461,487.515
n3,tai30_15_09.F.15_01,tai30_15,30,1849.0,1888.8333,17.1707,437.297
n3,tai30_15_10.F.15_01,tai30_15,30,1769.0,1808.6,18.1666,458.226
n3,tai30_20_01.F.15_01,tai30_20,30,2157.0,2205.65,23.0898,686.32
n3,tai30_20_02.F.15_01,tai30_20,30,2065.0,2119.75,26.9734,897.156
n3,tai30_20_03.F.15_01,tai30_20,30,2000.0,2041.4167,21.4693,896.648
n3,tai30_20_04.F.15_01,tai30_20,30,2105.0,2147.3333,21.8586,764.328
n3,tai30_20_05.F.15_01,tai30_20,30,2072.0,2119.0833,17.2302,751.343
n3,tai30_20_06.F.15_01,tai30_20,30,2153.0,2194.5667,25.1313,876.539
n3,tai30_20_07.F.15_01,tai30_20,30,2041.0,2085.15,24.5252,865.257
n3,tai30_20_08.F.15_01,tai30_20,30,2069.5,2102.85,18.2545,890.5
n3,tai30_20_09.F.15_01,tai30_20,30,2059.5,2099.25,24.4691,840.953
n3,tai30_20_10.F.15_01,tai30_20,30,2066.0,2108.8167,22.3327,815.196
n3,tai50_15_01.F.15_01,tai50_15,30,2834.0,2883.4667,39.6484,897.407
n3,tai50_15_02.F.15_01,tai50_15,30,2802.0,2838.75,23.0669,899.062
