neigh,step,mean_best_norm,sd_best_norm,n_obs
n3,86,0.851858,0.010789,30
n3,87,0.851165,0.011061,30
n3,88,0.850989,0.011132,30
n3,89,0.851177,0.011178,30
n3,90,0.851095,0.01087,30
n8,0,1.0,0.0,2460
n8,1,0.866784,0.019391,2297
n8,2,0.850535,0.019599,2443
n8,3,0.841317,0.019514,2394
n8,4,0.834909,0.019637,2402
n8,5,0.829934,0.019489,2392
n8,6,0.826369,0.019521,2399
n8,7,0.823159,0.019634,2378
n8,8,0.820471,0.019359,2371
n8,9,0.818506,0.019452,2367
n8,10,0.816572,0.019433,2367
n8,11,0.814722,0.019494,2365
n8,12,0.813223,0.019428,2358
n8,13,0.812017,0.019622,2351
n8,14,0.810586,0.019668,2327
n8,15,0.809786,0.01978,2337
n8,16,0.808593,0.019674,2320
n8,17,0.807866,0.019859,2334
n8,18,0.807155,0.019771,2333
n8,19,0.806292,0.01989,2319
n8,20,0.8055,0.019823,2284
n8,21,0.804797,0.020068,2256
n8,22,0.803918,0.019983,2205
n8,23,0.803242,0.020124,2146
n8,24,0.802402,0.020096,2096
n8,25,0.801909,0.020254,2056
n8,26,0.800433,0.01944,1989
n8,27,0.799616,0.019364,1951
n8,28,0.79905,0.019386,1885
n8,29,0.798431,0.019378,1858
n8,30,0.798317,0.019359,1819
n8,31,0.798062,0.019354,1807
n8,32,0.796355,0.018403,1723
n8,33,0.795432,0.017515,1630
n8,34,0.794711,0.017677,1515
n8,35,0.793501,0.017287,1441
n8,36,0.793655,0.017472,1353
n8,37,0.79392,0.017541,1207
n8,38,0.793742,0.017663,1148
n8,39,0.793689,0.017667,1142
n8,40,0.793853,0.017664,1110
n8,41,0.793963,0.017693,1080
n8,42,0.794237,0.017903,989
n8,43,0.79412,0.017922,933
n8,44,0.793487,0.018073,902
n8,45,0.792129,0.017771,841
n8,46,0.790878,0.017149,780
n8,47,0.790716,0.017163,780
n8,48,0.791101,0.017058,750
n8,49,0.79166,0.017296,690
n8,50,0.791275,0.017383,600
n8,51,0.792875,0.016938,540
n8,52,0.793315,0.016858,510
n8,53,0.791542,0.01683,450
n8,54,0.791439,0.016878,450
n8,55,0.791331,0.016894,450
n8,56,0.791079,0.016843,450
n8,57,0.791804,0.016924,420
n8,58,0.792445,0.01696,390
n8,59,0.792946,0.014592,330
n8,60,0.79418,0.014817,270
n8,61,0.794374,0.013,210
n8,62,0.794272,0.013068,210
n8,63,0.794166,0.013155,210
n8,64,0.794769,0.013311,180
n8,65,0.794627,0.013382,180
n8,66,0.794479,0.013386,180
n8,67,0.794688,0.013953,120
n8,68,0.794594,0.013981,120
n8,69,0.794441,0.014131,120
n8,70,0.794602,0.014129,120
n8,71,0.787973,0.008909,90
n8,72,0.787854,0.008981,90
n8,73,0.787701,0.00878,90
n8,74,0.787615,0.008671,90
n8,75,0.787578,0.008731,90
n8,76,0.786028,0.009082,60
n8,77,0.785971,0.009021,60
n8,78,0.782903,0.007946,30
n8,79,0.782826,0.007867,30
n8,80,0.782686,0.007804,30
n8,81,0.782386,0.00767,30
n8,82,0.782449,0.00777,30
next,0,1.0,0.0,2460
next,1,0.875297,0.019922,1529
next,2,0.854747,0.02088,2271
next,3,0.846344,0.0217,1985
next,4,0.83905,0.021554,2265
next,5,0.834948,0.021891,1998
next,6,0.831536,0.021427,2119
next,7,0.827852,0.022348,1987
next,8,0.825675,0.022006,2000
next,9,0.823383,0.022044,2020
next,10,0.821808,0.021992,1996
next,11,0.819595,0.022144,2027
next,12,0.81826,0.022094,1958
next,13,0.81679,0.022148,1941
next,14,0.815681,0.02186,1932
next,15,0.814628,0.021726,1977
next,16,0.813451,0.02197,1906
next,17,0.812327,0.021843,1876
next,18,0.811831,0.021804,1904
next,19,0.81074,0.022038,1887
next,20,0.810327,0.021651,1871
next,21,0.809988,0.021852,1869
next,22,0.808805,0.022105,1838
next,23,0.808587,0.021753,1831
next,24,0.807725,0.021919,1747
next,25,0.806905,0.021773,1750
next,26,0.806293,0.022042,1706
next,27,0.805775,0.021918,1669
next,28,0.805518,0.022036,1654
next,29,0.804884,0.02203,1643
next,30,0.803913,0.021527,1539
next,31,0.803681,0.021754,1495
next,32,0.803354,0.021861,1468
next,33,0.803744,0.021917,1354
next,34,0.802709,0.021507,1270
next,35,0.802786,0.021491,1219
next,36,0.802606,0.021682,1189
next,37,0.802685,0.021451,1157
next,38,0.802478,0.021442,1147
next,39,0.802301,0.021709,1101
next,40,0.802106,0.021722,1092
next,41,0.801269,0.021655,1061
next,42,0.801635,0.021456,1029
next,43,0.80076,0.020514,971
next,44,0.80045,0.020549,964
next,45,0.800867,0.020922,875
next,46,0.80063,0.021209,840
next,47,0.801344,0.021572,786
next,48,0.80106,0.021509,783
next,49,0.802564,0.021846,690
next,50,0.803112,0.021411,601
next,51,0.802833,0.02146,601
next,52,0.801146,0.020753,568
next,53,0.800983,0.020765,570
next,54,0.803675,0.019732,510
next,55,0.803832,0.019573,450
next,56,0.803749,0.01955,450
next,57,0.803064,0.019986,420
next,58,0.804601,0.018879,300
next,59,0.804346,0.019132,301
next,60,0.808003,0.015204,272
next,61,0.808088,0.014812,271
next,62,0.806902,0.015038,240
next,63,0.806813,0.01507,240
next,64,0.806527,0.015032,240
next,65,0.804622,0.014624,210
next,66,0.804574,0.014559,210
next,67,0.80449,0.014597,210
next,68,0.803359,0.015366,150
next,69,0.803249,0.01544,150
next,70,0.803059,0.015343,150
next,71,0.802858,0.015497,150
next,72,0.80284,0.015544,150
next,73,0.802685,0.015567,150
next,74,0.803835,0.016582,120
next,75,0.80882,0.015155,90
next,76,0.808666,0.015044,90
next,77,0.808498,0.014979,90
next,78,0.808468,0.01505,90
next,79,0.809676,0.016758,60
next,80,0.809627,0.016776,60
next,81,0.809402,0.01691,60
next,82,0.809196,0.017047,60
next,83,0.80904,0.017041,60
next,84,0.808976,0.017042,60
next,85,0.808916,0.016968,60
next,86,0.808886,0.016909,60
next,87,0.808553,0.017035,60
next,88,0.794388,0.009568,30
next,89,0.794284,0.009482,30
next,90,0.794097,0.009421,30
next,91,0.794395,0.009435,30
next,92,0.794521,0.009355,30
next,93,0.794507,0.009683,30
next,94,0.794237,0.009699,30
next,95,0.793773,0.009309,30
next,96,0.793787,0.009154,30
next,97,0.793658,0.009125,30
next,98,0.793587,0.009201,30
next,99,0.793351,0.009333,30
next,100,0.79319,0.009313,30
