algo,inst,arm,t,bestcmax
abce3,ft10,A0,50.4,960.00
abce3,ft10,A0,50.6,960.00
abce3,ft10,A0,50.8,960.00
abce3,ft10,A0,51.0,960.00
abce3,ft10,A0,51.2,960.00
abce3,ft10,A0,51.4,960.00
abce3,ft10,A0,51.6,960.00
abce3,ft10,A0,51.8,960.00
abce3,ft10,A0,52.0,960.00
abce3,ft10,A0,52.2,960.00
abce3,ft10,A0,52.4,960.00
abce3,ft10,A0,52.6,960.00
abce3,ft10,A0,52.8,960.00
abce3,ft10,A0,53.0,960.00
abce3,ft10,A0,53.2,960.00
abce3,ft10,A0,53.4,960.00
abce3,ft10,A0,53.6,960.00
abce3,ft10,A0,53.8,960.00
abce3,ft10,A0,54.0,960.00
abce3,ft10,A0,54.2,960.00
abce3,ft10,A0,54.4,960.00
abce3,ft10,A0,54.6,960.00
abce3,ft10,A0,54.8,960.00
abce3,ft10,A0,55.0,959.80
abce3,ft10,A0,55.2,959.80
abce3,ft10,A0,55.4,959.80
abce3,ft10,A0,55.6,959.80
abce3,ft10,A0,55.8,959.80
abce3,ft10,A0,56.0,959.80
abce3,ft10,A0,56.2,959.80
abce3,ft10,A0,56.4,959.80
abce3,ft10,A0,56.6,959.80
abce3,ft10,A0,56.8,959.80
abce3,ft10,A0,57.0,959.80
abce3,ft10,A0,57.2,959.80
abce3,ft10,A0,57.4,959.80
abce3,ft10,A0,57.6,959.80
abce3,ft10,A0,57.8,959.80
abce3,ft10,A0,58.0,959.80
abce3,ft10,A0,58.2,959.80
abce3,ft10,A0,58.4,959.80
abce3,ft10,A0,58.6,959.80
abce3,ft10,A0,58.8,959.80
abce3,ft10,A0,59.0,959.80
abce3,ft10,A0,59.2,959.80
abce3,ft10,A0,59.4,959.80
abce3,ft10,A0,59.6,959.80
abce3,ft10,A0,59.8,959.80
abce3,ft10,A0,60.0,959.80
abce3,ft10,V2H,0.2,997.00
abce3,ft10,V2H,0.4,997.00
abce3,ft10,V2H,0.6,997.00
abce3,ft10,V2H,0.8,997.00
abce3,ft10,V2H,1.0,997.00
abce3,ft10,V2H,1.2,997.00
abce3,ft10,V2H,1.4,997.00
abce3,ft10,V2H,1.6,997.00
abce3,ft10,V2H,1.8,997.00
abce3,ft10,V2H,2.0,997.00
abce3,ft10,V2H,2.2,997.00
abce3,ft10,V2H,2.4,997.00
abce3,ft10,V2H,2.6,997.00
