algo,inst,run,t,v
ga,ft10,20,35.000,950.000
ga,ft10,20,40.000,950.000
ga,ft10,20,45.000,950.000
ga,ft10,20,50.000,950.000
ga,ft10,20,55.000,950.000
ga,ft10,20,60.000,950.000
ga,ft10,21,0.000,1149.500
ga,ft10,21,5.000,939.000
ga,ft10,21,10.000,939.000
ga,ft10,21,15.000,939.000
ga,ft10,21,20.000,939.000
ga,ft10,21,25.000,939.000
ga,ft10,21,30.000,939.000
ga,ft10,21,35.000,939.000
ga,ft10,21,40.000,939.000
ga,ft10,21,45.000,939.000
ga,ft10,21,50.000,939.000
ga,ft10,21,55.000,939.000
ga,ft10,21,60.000,939.000
ga,ft10,22,0.016,1157.000
ga,ft10,22,5.000,940.000
ga,ft10,22,10.000,940.000
ga,ft10,22,15.000,940.000
ga,ft10,22,20.000,940.000
ga,ft10,22,25.000,940.000
ga,ft10,22,30.000,940.000
ga,ft10,22,35.000,940.000
ga,ft10,22,40.000,940.000
ga,ft10,22,45.000,940.000
ga,ft10,22,50.000,940.000
ga,ft10,22,55.000,940.000
ga,ft10,22,60.000,940.000
ga,ft10,23,0.016,1129.000
ga,ft10,23,5.000,947.000
ga,ft10,23,10.000,947.000
ga,ft10,23,15.000,947.000
ga,ft10,23,20.000,947.000
ga,ft10,23,25.000,947.000
ga,ft10,23,30.000,947.000
ga,ft10,23,35.000,947.000
ga,ft10,23,40.000,947.000
ga,ft10,23,45.000,947.000
ga,ft10,23,50.000,947.000
ga,ft10,23,55.000,947.000
ga,ft10,23,60.000,947.000
ga,ft10,24,0.000,1154.500
ga,ft10,24,5.000,947.000
ga,ft10,24,10.000,947.000
ga,ft10,24,15.000,947.000
ga,ft10,24,20.000,947.000
ga,ft10,24,25.000,935.500
ga,ft10,24,30.000,935.500
ga,ft10,24,35.000,935.500
ga,ft10,24,40.000,935.500
ga,ft10,24,45.000,935.500
ga,ft10,24,50.000,935.500
ga,ft10,24,55.000,935.500
ga,ft10,24,60.000,935.500
ga,ft10,25,0.000,1120.500
ga,ft10,25,5.000,952.500
ga,ft10,25,10.000,952.500
ga,ft10,25,15.000,952.500
ga,ft10,25,20.000,952.500
ga,ft10,25,25.000,952.500
ga,ft10,25,30.000,952.500
ga,ft10,25,35.000,952.500
ga,ft10,25,40.000,952.500
ga,ft10,25,45.000,952.500
ga,ft10,25,50.000,952.500
ga,ft10,25,55.000,952.500
ga,ft10,25,60.000,952.500
