algo,inst,clase,arm,run,ecmax
ga,tai15_15_01,15x15,V2H,23,1278.5
ga,tai15_15_01,15x15,V2H,24,1286.0
ga,tai15_15_01,15x15,V2H,25,1280.0
ga,tai15_15_01,15x15,V2H,26,1284.0
ga,tai15_15_01,15x15,V2H,27,1290.5
ga,tai15_15_01,15x15,V2H,28,1269.0
ga,tai15_15_01,15x15,V2H,29,1273.0
ga,tai15_15_01,15x15,V2H,30,1281.5
ga,tai15_15_01,15x15,V2,1,1290.5
ga,tai15_15_01,15x15,V2,2,1270.0
ga,tai15_15_01,15x15,V2,3,1286.0
ga,tai15_15_01,15x15,V2,4,1282.0
ga,tai15_15_01,15x15,V2,5,1290.5
ga,tai15_15_01,15x15,V2,6,1289.5
ga,tai15_15_01,15x15,V2,7,1295.0
ga,tai15_15_01,15x15,V2,8,1289.5
ga,tai15_15_01,15x15,V2,9,1282.0
ga,tai15_15_01,15x15,V2,10,1281.0
ga,tai15_15_01,15x15,V2,11,1284.0
ga,tai15_15_01,15x15,V2,12,1285.0
ga,tai15_15_01,15x15,V2,13,1284.5
ga,tai15_15_01,15x15,V2,14,1281.5
ga,tai15_15_01,15x15,V2,15,1278.5
ga,tai15_15_01,15x15,V2,16,1279.0
ga,tai15_15_01,15x15,V2,17,1266.5
ga,tai15_15_01,15x15,V2,18,1279.0
ga,tai15_15_01,15x15,V2,19,1279.0
ga,tai15_15_01,15x15,V2,20,1289.5
ga,tai15_15_01,15x15,V2,21,1277.5
ga,tai15_15_01,15x15,V2,22,1285.5
ga,tai15_15_01,15x15,V2,23,1260.5
ga,tai15_15_01,15x15,V2,24,1280.5
ga,tai15_15_01,15x15,V2,25,1284.0
ga,tai15_15_01,15x15,V2,26,1284.0
ga,tai15_15_01,15x15,V2,27,1270.0
ga,tai15_15_01,15x15,V2,28,1279.0
ga,tai15_15_01,15x15,V2,29,1278.5
ga,tai15_15_01,15x15,V2,30,1284.0
ga,tai15_15_01,15x15,MOR,1,1320.0
ga,tai15_15_01,15x15,MOR,2,1336.5
ga,tai15_15_01,15x15,MOR,3,1321.0
ga,tai15_15_01,15x15,MOR,4,1315.0
ga,tai15_15_01,15x15,MOR,5,1320.0
ga,tai15_15_01,15x15,MOR,6,1339.5
ga,tai15_15_01,15x15,MOR,7,1310.0
ga,tai15_15_01,15x15,MOR,8,1338.0
ga,tai15_15_01,15x15,MOR,9,1315.0
ga,tai15_15_01,15x15,MOR,10,1321.5
ga,tai15_15_01,15x15,MOR,11,1319.0
ga,tai15_15_01,15x15,MOR,12,1321.5
ga,tai15_15_01,15x15,MOR,13,1345.0
ga,tai15_15_01,15x15,MOR,14,1319.0
ga,tai15_15_01,15x15,MOR,15,1310.5
ga,tai15_15_01,15x15,MOR,16,1329.0
ga,tai15_15_01,15x15,MOR,17,1311.0
ga,tai15_15_01,15x15,MOR,18,1339.0
ga,tai15_15_01,15x15,MOR,19,1304.0
ga,tai15_15_01,15x15,MOR,20,1311.5
ga,tai15_15_01,15x15,MOR,21,1298.5
ga,tai15_15_01,15x15,MOR,22,1322.5
ga,tai15_15_01,15x15,MOR,23,1325.0
ga,tai15_15_01,15x15,MOR,24,1311.5
ga,tai15_15_01,15x15,MOR,25,1338.0
ga,tai15_15_01,15x15,MOR,26,1336.0
ga,tai15_15_01,15x15,MOR,27,1320.0
ga,tai15_15_01,15x15,MOR,28,1315.0
ga,tai15_15_01,15x15,MOR,29,1328.0
ga,tai15_15_01,15x15,MOR,30,1319.0
ga,tai15_15_01,15x15,GT,1,1323.0
