algo,inst,clase,arm,run,ecmax
feabcls,ft10,10x10,MIX,23,946.0
feabcls,ft10,10x10,MIX,24,939.0
feabcls,ft10,10x10,MIX,25,940.0
feabcls,ft10,10x10,MIX,26,946.0
feabcls,ft10,10x10,MIX,27,946.0
feabcls,ft10,10x10,MIX,28,935.5
feabcls,ft10,10x10,MIX,29,940.0
feabcls,ft10,10x10,MIX,30,946.0
feabcls,ft10,10x10,MIXH,1,940.0
feabcls,ft10,10x10,MIXH,2,946.0
feabcls,ft10,10x10,MIXH,3,946.0
feabcls,ft10,10x10,MIXH,4,946.0
feabcls,ft10,10x10,MIXH,5,940.0
feabcls,ft10,10x10,MIXH,6,946.0
feabcls,ft10,10x10,MIXH,7,935.5
feabcls,ft10,10x10,MIXH,8,946.0
feabcls,ft10,10x10,MIXH,9,940.0
feabcls,ft10,10x10,MIXH,10,946.0
feabcls,ft10,10x10,MIXH,11,946.0
feabcls,ft10,10x10,MIXH,12,946.0
feabcls,ft10,10x10,MIXH,13,946.5
feabcls,ft10,10x10,MIXH,14,940.0
feabcls,ft10,10x10,MIXH,15,935.5
feabcls,ft10,10x10,MIXH,16,946.0
feabcls,ft10,10x10,MIXH,17,940.0
feabcls,ft10,10x10,MIXH,18,946.0
feabcls,ft10,10x10,MIXH,19,942.5
feabcls,ft10,10x10,MIXH,20,946.0
feabcls,ft10,10x10,MIXH,21,946.0
feabcls,ft10,10x10,MIXH,22,942.5
feabcls,ft10,10x10,MIXH,23,940.0
feabcls,ft10,10x10,MIXH,24,942.5
feabcls,ft10,10x10,MIXH,25,935.5
feabcls,ft10,10x10,MIXH,26,946.0
feabcls,ft10,10x10,MIXH,27,946.0
feabcls,ft10,10x10,MIXH,28,946.0
feabcls,ft10,10x10,MIXH,29,946.0
feabcls,ft10,10x10,MIXH,30,940.0
feabcls,tai15_15_01,15x15,A0,1,1271.0
feabcls,tai15_15_01,15x15,A0,2,1262.0
feabcls,tai15_15_01,15x15,A0,3,1253.0
feabcls,tai15_15_01,15x15,A0,4,1262.0
feabcls,tai15_15_01,15x15,A0,5,1268.0
feabcls,tai15_15_01,15x15,A0,6,1262.0
feabcls,tai15_15_01,15x15,A0,7,1268.5
feabcls,tai15_15_01,15x15,A0,8,1268.5
feabcls,tai15_15_01,15x15,A0,9,1262.0
feabcls,tai15_15_01,15x15,A0,10,1255.5
feabcls,tai15_15_01,15x15,A0,11,1264.0
feabcls,tai15_15_01,15x15,A0,12,1262.0
feabcls,tai15_15_01,15x15,A0,13,1260.5
feabcls,tai15_15_01,15x15,A0,14,1269.0
feabcls,tai15_15_01,15x15,A0,15,1271.5
feabcls,tai15_15_01,15x15,A0,16,1258.5
feabcls,tai15_15_01,15x15,A0,17,1262.0
feabcls,tai15_15_01,15x15,A0,18,1262.0
feabcls,tai15_15_01,15x15,A0,19,1262.0
feabcls,tai15_15_01,15x15,A0,20,1248.0
feabcls,tai15_15_01,15x15,A0,21,1268.5
feabcls,tai15_15_01,15x15,A0,22,1255.5
feabcls,tai15_15_01,15x15,A0,23,1255.0
feabcls,tai15_15_01,15x15,A0,24,1253.0
feabcls,tai15_15_01,15x15,A0,25,1249.5
feabcls,tai15_15_01,15x15,A0,26,1262.0
feabcls,tai15_15_01,15x15,A0,27,1256.0
feabcls,tai15_15_01,15x15,A0,28,1248.0
feabcls,tai15_15_01,15x15,A0,29,1255.0
feabcls,tai15_15_01,15x15,A0,30,1271.0
feabcls,tai15_15_01,15x15,V2H,1,1256.5
feabcls,tai15_15_01,15x15,V2H,2,1261.5
feabcls,tai15_15_01,15x15,V2H,3,1267.5
feabcls,tai15_15_01,15x15,V2H,4,1264.5
feabcls,tai15_15_01,15x15,V2H,5,1257.5
feabcls,tai15_15_01,15x15,V2H,6,1260.5
feabcls,tai15_15_01,15x15,V2H,7,1260.5
feabcls,tai15_15_01,15x15,V2H,8,1258.5
feabcls,tai15_15_01,15x15,V2H,9,1258.5
feabcls,tai15_15_01,15x15,V2H,10,1259.0
feabcls,tai15_15_01,15x15,V2H,11,1262.0
feabcls,tai15_15_01,15x15,V2H,12,1246.5
feabcls,tai15_15_01,15x15,V2H,13,1262.0
feabcls,tai15_15_01,15x15,V2H,14,1258.5
feabcls,tai15_15_01,15x15,V2H,15,1260.5
feabcls,tai15_15_01,15x15,V2H,16,1258.5
feabcls,tai15_15_01,15x15,V2H,17,1260.5
feabcls,tai15_15_01,15x15,V2H,18,1262.0
feabcls,tai15_15_01,15x15,V2H,19,1260.5
feabcls,tai15_15_01,15x15,V2H,20,1260.5
feabcls,tai15_15_01,15x15,V2H,21,1260.5
feabcls,tai15_15_01,15x15,V2H,22,1260.5
feabcls,tai15_15_01,15x15,V2H,23,1262.0
feabcls,tai15_15_01,15x15,V2H,24,1262.0
feabcls,tai15_15_01,15x15,V2H,25,1260.5
feabcls,tai15_15_01,15x15,V2H,26,1258.5
feabcls,tai15_15_01,15x15,V2H,27,1262.0
feabcls,tai15_15_01,15x15,V2H,28,1260.5
feabcls,tai15_15_01,15x15,V2H,29,1262.0
feabcls,tai15_15_01,15x15,V2H,30,1253.5
feabcls,tai15_15_01,15x15,V2,1,1248.0
feabcls,tai15_15_01,15x15,V2,2,1253.0
feabcls,tai15_15_01,15x15,V2,3,1262.0
feabcls,tai15_15_01,15x15,V2,4,1265.0
feabcls,tai15_15_01,15x15,V2,5,1255.0
feabcls,tai15_15_01,15x15,V2,6,1258.5
feabcls,tai15_15_01,15x15,V2,7,1258.5
feabcls,tai15_15_01,15x15,V2,8,1259.0
feabcls,tai15_15_01,15x15,V2,9,1262.0
feabcls,tai15_15_01,15x15,V2,10,1262.0
feabcls,tai15_15_01,15x15,V2,11,1262.0
feabcls,tai15_15_01,15x15,V2,12,1255.5
feabcls,tai15_15_01,15x15,V2,13,1249.5
feabcls,tai15_15_01,15x15,V2,14,1260.5
feabcls,tai15_15_01,15x15,V2,15,1246.5
feabcls,tai15_15_01,15x15,V2,16,1258.5
feabcls,tai15_15_01,15x15,V2,17,1260.5
feabcls,tai15_15_01,15x15,V2,18,1260.5
feabcls,tai15_15_01,15x15,V2,19,1265.0
feabcls,tai15_15_01,15x15,V2,20,1262.0
feabcls,tai15_15_01,15x15,V2,21,1258.5
feabcls,tai15_15_01,15x15,V2,22,1249.5
feabcls,tai15_15_01,15x15,V2,23,1246.5
feabcls,tai15_15_01,15x15,V2,24,1258.5
feabcls,tai15_15_01,15x15,V2,25,1262.0
feabcls,tai15_15_01,15x15,V2,26,1258.5
feabcls,tai15_15_01,15x15,V2,27,1259.0
feabcls,tai15_15_01,15x15,V2,28,1262.0
feabcls,tai15_15_01,15x15,V2,29,1259.0
feabcls,tai15_15_01,15x15,V2,30,1250.0
feabcls,tai15_15_01,15x15,MOR,1,1276.5
feabcls,tai15_15_01,15x15,MOR,2,1271.5
feabcls,tai15_15_01,15x15,MOR,3,1257.5
feabcls,tai15_15_01,15x15,MOR,4,1257.5
feabcls,tai15_15_01,15x15,MOR,5,1285.0
feabcls,tai15_15_01,15x15,MOR,6,1268.5
feabcls,tai15_15_01,15x15,MOR,7,1285.0
feabcls,tai15_15_01,15x15,MOR,8,1257.5
feabcls,tai15_15_01,15x15,MOR,9,1257.0
feabcls,tai15_15_01,15x15,MOR,10,1257.5
feabcls,tai15_15_01,15x15,MOR,11,1276.0
feabcls,tai15_15_01,15x15,MOR,12,1269.0
