algo,inst,run,t,v
tsn2,tai30_20_08,5,710.406,2062.000
tsn2,tai30_20_08,5,717.031,2062.000
tsn2,tai30_20_08,5,724.203,2062.000
tsn2,tai30_20_08,5,731.469,2062.000
tsn2,tai30_20_08,5,738.562,2062.000
tsn2,tai30_20_08,5,745.703,2062.000
tsn2,tai30_20_08,5,752.734,2062.000
tsn2,tai30_20_08,5,759.734,2062.000
tsn2,tai30_20_08,5,766.594,2062.000
tsn2,tai30_20_08,5,773.875,2062.000
tsn2,tai30_20_08,5,781.188,2062.000
tsn2,tai30_20_08,5,788.562,2062.000
tsn2,tai30_20_08,5,796.281,2062.000
tsn2,tai30_20_08,5,804.547,2062.000
tsn2,tai30_20_08,5,814.625,2062.000
tsn2,tai30_20_08,5,825.141,2062.000
tsn2,tai30_20_08,5,835.516,2062.000
tsn2,tai30_20_08,5,846.047,2062.000
tsn2,tai30_20_08,5,855.719,2062.000
tsn2,tai30_20_08,5,866.266,2062.000
tsn2,tai30_20_08,5,876.094,2062.000
tsn2,tai30_20_08,5,885.484,2062.000
tsn2,tai30_20_08,5,894.484,2062.000
tsn2,tai30_20_08,5,903.906,2062.000
tsn2,tai30_20_08,6,0.094,2572.000
tsn2,tai30_20_08,6,20.875,2297.500
tsn2,tai30_20_08,6,38.062,2262.500
tsn2,tai30_20_08,6,56.062,2242.000
tsn2,tai30_20_08,6,74.312,2186.500
tsn2,tai30_20_08,6,92.453,2167.000
tsn2,tai30_20_08,6,110.281,2167.000
tsn2,tai30_20_08,6,127.875,2131.500
tsn2,tai30_20_08,6,144.953,2122.000
tsn2,tai30_20_08,6,162.328,2118.500
tsn2,tai30_20_08,6,179.359,2118.500
tsn2,tai30_20_08,6,195.875,2107.500
tsn2,tai30_20_08,6,213.594,2107.500
tsn2,tai30_20_08,6,231.688,2107.500
tsn2,tai30_20_08,6,249.188,2107.500
tsn2,tai30_20_08,6,265.484,2107.500
tsn2,tai30_20_08,6,281.328,2099.500
tsn2,tai30_20_08,6,297.406,2099.500
tsn2,tai30_20_08,6,313.438,2099.500
tsn2,tai30_20_08,6,328.469,2096.500
tsn2,tai30_20_08,6,344.219,2093.000
tsn2,tai30_20_08,6,359.594,2093.000
tsn2,tai30_20_08,6,374.266,2093.000
tsn2,tai30_20_08,6,388.672,2075.500
