algo,inst,clase,arm,run,ecmax
tsn2,tai15_15_01,15x15,V2,22,1253.5
tsn2,tai15_15_01,15x15,V2,23,1251.5
tsn2,tai15_15_01,15x15,V2,24,1246.5
tsn2,tai15_15_01,15x15,V2,25,1248.0
tsn2,tai15_15_01,15x15,V2,26,1253.5
tsn2,tai15_15_01,15x15,V2,27,1253.5
tsn2,tai15_15_01,15x15,V2,28,1248.0
tsn2,tai15_15_01,15x15,V2,29,1253.5
tsn2,tai15_15_01,15x15,V2,30,1253.5
tsn2,tai15_15_01,15x15,MOR,1,1271.0
tsn2,tai15_15_01,15x15,MOR,2,1268.5
tsn2,tai15_15_01,15x15,MOR,3,1262.5
tsn2,tai15_15_01,15x15,MOR,4,1262.5
tsn2,tai15_15_01,15x15,MOR,5,1262.5
tsn2,tai15_15_01,15x15,MOR,6,1268.5
tsn2,tai15_15_01,15x15,MOR,7,1268.5
tsn2,tai15_15_01,15x15,MOR,8,1265.0
tsn2,tai15_15_01,15x15,MOR,9,1259.0
tsn2,tai15_15_01,15x15,MOR,10,1268.5
tsn2,tai15_15_01,15x15,MOR,11,1266.0
tsn2,tai15_15_01,15x15,MOR,12,1268.5
tsn2,tai15_15_01,15x15,MOR,13,1268.5
tsn2,tai15_15_01,15x15,MOR,14,1268.5
tsn2,tai15_15_01,15x15,MOR,15,1253.5
tsn2,tai15_15_01,15x15,MOR,16,1271.0
tsn2,tai15_15_01,15x15,MOR,17,1262.5
tsn2,tai15_15_01,15x15,MOR,18,1268.5
tsn2,tai15_15_01,15x15,MOR,19,1271.0
tsn2,tai15_15_01,15x15,MOR,20,1257.0
tsn2,tai15_15_01,15x15,MOR,21,1268.5
tsn2,tai15_15_01,15x15,MOR,22,1270.5
tsn2,tai15_15_01,15x15,MOR,23,1262.5
tsn2,tai15_15_01,15x15,MOR,24,1268.5
tsn2,tai15_15_01,15x15,MOR,25,1257.0
tsn2,tai15_15_01,15x15,MOR,26,1257.0
tsn2,tai15_15_01,15x15,MOR,27,1268.5
tsn2,tai15_15_01,15x15,MOR,28,1262.5
tsn2,tai15_15_01,15x15,MOR,29,1257.0
tsn2,tai15_15_01,15x15,MOR,30,1268.5
tsn2,tai15_15_01,15x15,GT,1,1268.5
tsn2,tai15_15_01,15x15,GT,2,1251.5
tsn2,tai15_15_01,15x15,GT,3,1250.5
tsn2,tai15_15_01,15x15,GT,4,1253.0
tsn2,tai15_15_01,15x15,GT,5,1253.5
tsn2,tai15_15_01,15x15,GT,6,1268.5
tsn2,tai15_15_01,15x15,GT,7,1253.5
tsn2,tai15_15_01,15x15,GT,8,1275.0
tsn2,tai15_15_01,15x15,GT,9,1250.5
tsn2,tai15_15_01,15x15,GT,10,1253.5
tsn2,tai15_15_01,15x15,GT,11,1268.5
tsn2,tai15_15_01,15x15,GT,12,1268.5
tsn2,tai15_15_01,15x15,GT,13,1275.0
tsn2,tai15_15_01,15x15,GT,14,1256.0
tsn2,tai15_15_01,15x15,GT,15,1275.0
tsn2,tai15_15_01,15x15,GT,16,1275.0
tsn2,tai15_15_01,15x15,GT,17,1253.5
tsn2,tai15_15_01,15x15,GT,18,1250.5
tsn2,tai15_15_01,15x15,GT,19,1255.0
tsn2,tai15_15_01,15x15,GT,20,1255.0
tsn2,tai15_15_01,15x15,GT,21,1250.5
tsn2,tai15_15_01,15x15,GT,22,1275.0
tsn2,tai15_15_01,15x15,GT,23,1275.0
tsn2,tai15_15_01,15x15,GT,24,1275.0
tsn2,tai15_15_01,15x15,GT,25,1275.0
