algo,inst,run,t,v
feabcls,ft10,27,15.016,950.000
feabcls,ft10,27,20.016,950.000
feabcls,ft10,27,25.047,950.000
feabcls,ft10,27,30.047,950.000
feabcls,ft10,27,35.016,950.000
feabcls,ft10,27,40.016,950.000
feabcls,ft10,27,45.031,945.500
feabcls,ft10,27,50.062,940.000
feabcls,ft10,27,55.078,940.000
feabcls,ft10,27,60.016,940.000
feabcls,ft10,28,0.016,1082.000
feabcls,ft10,28,5.000,958.000
feabcls,ft10,28,10.031,940.000
feabcls,ft10,28,15.016,940.000
feabcls,ft10,28,20.062,940.000
feabcls,ft10,28,25.016,940.000
feabcls,ft10,28,30.062,940.000
feabcls,ft10,28,35.047,940.000
feabcls,ft10,28,40.000,940.000
feabcls,ft10,28,45.047,940.000
feabcls,ft10,28,50.078,940.000
feabcls,ft10,28,55.078,940.000
feabcls,ft10,29,0.016,1148.000
feabcls,ft10,29,5.000,940.000
feabcls,ft10,29,10.016,940.000
feabcls,ft10,29,15.000,940.000
feabcls,ft10,29,20.016,940.000
feabcls,ft10,29,25.047,940.000
feabcls,ft10,29,30.000,940.000
feabcls,ft10,29,35.016,940.000
feabcls,ft10,29,40.078,940.000
feabcls,ft10,29,45.000,940.000
feabcls,ft10,29,50.047,940.000
feabcls,ft10,29,55.000,940.000
feabcls,ft10,30,0.016,1177.500
feabcls,ft10,30,5.047,940.000
feabcls,ft10,30,10.016,940.000
feabcls,ft10,30,15.031,940.000
feabcls,ft10,30,20.062,940.000
feabcls,ft10,30,25.000,940.000
feabcls,ft10,30,30.062,940.000
feabcls,ft10,30,35.000,940.000
feabcls,ft10,30,40.078,940.000
feabcls,ft10,30,45.062,940.000
feabcls,ft10,30,50.031,940.000
feabcls,ft10,30,55.000,940.000
feabcls,tai15_15_01,1,0.031,1572.000
feabcls,tai15_15_01,1,5.094,1271.000
feabcls,tai15_15_01,1,10.016,1271.000
feabcls,tai15_15_01,1,15.016,1271.000
feabcls,tai15_15_01,1,20.031,1271.000
feabcls,tai15_15_01,1,25.125,1271.000
feabcls,tai15_15_01,1,30.016,1271.000
feabcls,tai15_15_01,1,35.141,1271.000
feabcls,tai15_15_01,1,40.016,1271.000
feabcls,tai15_15_01,1,45.000,1271.000
feabcls,tai15_15_01,1,50.141,1271.000
feabcls,tai15_15_01,1,55.109,1271.000
feabcls,tai15_15_01,1,60.000,1271.000
feabcls,tai15_15_01,2,0.031,1589.000
feabcls,tai15_15_01,2,5.016,1262.000
feabcls,tai15_15_01,2,10.156,1262.000
feabcls,tai15_15_01,2,15.047,1262.000
feabcls,tai15_15_01,2,20.188,1262.000
feabcls,tai15_15_01,2,25.094,1262.000
feabcls,tai15_15_01,2,30.109,1262.000
feabcls,tai15_15_01,2,35.078,1262.000
feabcls,tai15_15_01,2,40.094,1262.000
feabcls,tai15_15_01,2,45.062,1262.000
feabcls,tai15_15_01,2,50.094,1262.000
feabcls,tai15_15_01,2,55.125,1262.000
feabcls,tai15_15_01,2,60.047,1262.000
feabcls,tai15_15_01,3,0.031,1536.500
feabcls,tai15_15_01,3,5.094,1262.500
feabcls,tai15_15_01,3,10.062,1256.500
feabcls,tai15_15_01,3,15.078,1255.500
feabcls,tai15_15_01,3,20.141,1255.500
feabcls,tai15_15_01,3,25.000,1255.500
feabcls,tai15_15_01,3,30.109,1255.500
feabcls,tai15_15_01,3,35.078,1255.500
feabcls,tai15_15_01,3,40.031,1253.500
feabcls,tai15_15_01,3,45.062,1253.000
feabcls,tai15_15_01,3,50.000,1253.000
feabcls,tai15_15_01,3,55.016,1253.000
feabcls,tai15_15_01,4,0.031,1570.500
feabcls,tai15_15_01,4,5.172,1274.000
feabcls,tai15_15_01,4,10.078,1269.000
feabcls,tai15_15_01,4,15.000,1268.000
feabcls,tai15_15_01,4,20.016,1268.000
feabcls,tai15_15_01,4,25.031,1268.000
feabcls,tai15_15_01,4,30.047,1267.500
feabcls,tai15_15_01,4,35.016,1267.500
feabcls,tai15_15_01,4,40.016,1262.000
feabcls,tai15_15_01,4,45.031,1262.000
feabcls,tai15_15_01,4,50.094,1262.000
feabcls,tai15_15_01,4,55.016,1262.000
feabcls,tai15_15_01,4,60.047,1262.000
feabcls,tai15_15_01,5,0.031,1558.000
feabcls,tai15_15_01,5,5.141,1281.500
feabcls,tai15_15_01,5,10.094,1268.000
feabcls,tai15_15_01,5,15.156,1268.000
feabcls,tai15_15_01,5,20.016,1268.000
feabcls,tai15_15_01,5,25.062,1268.000
feabcls,tai15_15_01,5,30.078,1268.000
feabcls,tai15_15_01,5,35.016,1268.000
feabcls,tai15_15_01,5,40.062,1268.000
feabcls,tai15_15_01,5,45.094,1268.000
feabcls,tai15_15_01,5,50.062,1268.000
feabcls,tai15_15_01,5,55.109,1268.000
feabcls,tai15_15_01,6,0.016,1566.500
feabcls,tai15_15_01,6,5.188,1262.000
feabcls,tai15_15_01,6,10.125,1262.000
feabcls,tai15_15_01,6,15.031,1262.000
feabcls,tai15_15_01,6,20.031,1262.000
feabcls,tai15_15_01,6,25.156,1262.000
feabcls,tai15_15_01,6,30.125,1262.000
feabcls,tai15_15_01,6,35.016,1262.000
feabcls,tai15_15_01,6,40.141,1262.000
feabcls,tai15_15_01,6,45.109,1262.000
feabcls,tai15_15_01,6,50.125,1262.000
feabcls,tai15_15_01,6,55.078,1262.000
feabcls,tai15_15_01,6,60.047,1262.000
feabcls,tai15_15_01,7,0.016,1567.000
feabcls,tai15_15_01,7,5.172,1271.000
feabcls,tai15_15_01,7,10.094,1268.500
feabcls,tai15_15_01,7,15.016,1268.500
feabcls,tai15_15_01,7,20.109,1268.500
feabcls,tai15_15_01,7,25.016,1268.500
feabcls,tai15_15_01,7,30.094,1268.500
feabcls,tai15_15_01,7,35.156,1268.500
feabcls,tai15_15_01,7,40.000,1268.500
feabcls,tai15_15_01,7,45.000,1268.500
feabcls,tai15_15_01,7,50.047,1268.500
feabcls,tai15_15_01,7,55.141,1268.500
feabcls,tai15_15_01,7,60.062,1268.500
feabcls,tai15_15_01,8,0.016,1522.500
feabcls,tai15_15_01,8,5.156,1271.000
feabcls,tai15_15_01,8,10.094,1271.000
feabcls,tai15_15_01,8,15.156,1271.000
feabcls,tai15_15_01,8,20.141,1271.000
feabcls,tai15_15_01,8,25.000,1270.000
feabcls,tai15_15_01,8,30.109,1268.500
feabcls,tai15_15_01,8,35.094,1268.500
feabcls,tai15_15_01,8,40.109,1268.500
feabcls,tai15_15_01,8,45.094,1268.500
feabcls,tai15_15_01,8,50.109,1268.500
feabcls,tai15_15_01,8,55.078,1268.500
feabcls,tai15_15_01,9,0.016,1546.000
feabcls,tai15_15_01,9,5.172,1279.500
feabcls,tai15_15_01,9,10.078,1262.000
feabcls,tai15_15_01,9,15.078,1262.000
feabcls,tai15_15_01,9,20.141,1262.000
feabcls,tai15_15_01,9,25.125,1262.000
feabcls,tai15_15_01,9,30.156,1262.000
feabcls,tai15_15_01,9,35.062,1262.000
feabcls,tai15_15_01,9,40.156,1262.000
feabcls,tai15_15_01,9,45.125,1262.000
feabcls,tai15_15_01,9,50.062,1262.000
feabcls,tai15_15_01,9,55.109,1262.000
feabcls,tai15_15_01,10,0.016,1519.500
feabcls,tai15_15_01,10,5.047,1271.000
feabcls,tai15_15_01,10,10.062,1255.500
feabcls,tai15_15_01,10,15.031,1255.500
feabcls,tai15_15_01,10,20.031,1255.500
feabcls,tai15_15_01,10,25.062,1255.500
feabcls,tai15_15_01,10,30.031,1255.500
feabcls,tai15_15_01,10,35.000,1255.500
feabcls,tai15_15_01,10,40.031,1255.500
feabcls,tai15_15_01,10,45.047,1255.500
feabcls,tai15_15_01,10,50.203,1255.500
feabcls,tai15_15_01,10,55.078,1255.500
feabcls,tai15_15_01,10,60.031,1255.500
feabcls,tai15_15_01,11,0.031,1547.000
feabcls,tai15_15_01,11,5.016,1272.000
feabcls,tai15_15_01,11,10.172,1267.500
feabcls,tai15_15_01,11,15.188,1267.000
feabcls,tai15_15_01,11,20.047,1264.000
feabcls,tai15_15_01,11,25.188,1264.000
feabcls,tai15_15_01,11,30.094,1264.000
feabcls,tai15_15_01,11,35.047,1264.000
feabcls,tai15_15_01,11,40.172,1264.000
feabcls,tai15_15_01,11,45.125,1264.000
feabcls,tai15_15_01,11,50.094,1264.000
feabcls,tai15_15_01,11,55.156,1264.000
feabcls,tai15_15_01,12,0.016,1533.500
feabcls,tai15_15_01,12,5.062,1262.000
feabcls,tai15_15_01,12,10.125,1262.000
feabcls,tai15_15_01,12,15.062,1262.000
feabcls,tai15_15_01,12,20.062,1262.000
feabcls,tai15_15_01,12,25.094,1262.000
feabcls,tai15_15_01,12,30.109,1262.000
feabcls,tai15_15_01,12,35.094,1262.000
feabcls,tai15_15_01,12,40.109,1262.000
feabcls,tai15_15_01,12,45.078,1262.000
feabcls,tai15_15_01,12,50.047,1262.000
feabcls,tai15_15_01,12,55.062,1262.000
feabcls,tai15_15_01,13,0.031,1559.000
feabcls,tai15_15_01,13,5.094,1282.500
feabcls,tai15_15_01,13,10.156,1263.500
feabcls,tai15_15_01,13,15.141,1260.500
feabcls,tai15_15_01,13,20.047,1260.500
feabcls,tai15_15_01,13,25.000,1260.500
feabcls,tai15_15_01,13,30.000,1260.500
feabcls,tai15_15_01,13,35.156,1260.500
feabcls,tai15_15_01,13,40.156,1260.500
feabcls,tai15_15_01,13,45.016,1260.500
feabcls,tai15_15_01,13,50.109,1260.500
feabcls,tai15_15_01,13,55.031,1260.500
feabcls,tai15_15_01,13,60.000,1260.500
feabcls,tai15_15_01,14,0.031,1574.500
feabcls,tai15_15_01,14,5.172,1279.000
feabcls,tai15_15_01,14,10.031,1269.000
feabcls,tai15_15_01,14,15.062,1269.000
feabcls,tai15_15_01,14,20.109,1269.000
feabcls,tai15_15_01,14,25.156,1269.000
feabcls,tai15_15_01,14,30.047,1269.000
feabcls,tai15_15_01,14,35.047,1269.000
feabcls,tai15_15_01,14,40.000,1269.000
feabcls,tai15_15_01,14,45.078,1269.000
feabcls,tai15_15_01,14,50.141,1269.000
feabcls,tai15_15_01,14,55.219,1269.000
feabcls,tai15_15_01,14,60.062,1269.000
feabcls,tai15_15_01,15,0.016,1510.500
feabcls,tai15_15_01,15,5.094,1272.500
feabcls,tai15_15_01,15,10.031,1271.500
feabcls,tai15_15_01,15,15.109,1271.500
feabcls,tai15_15_01,15,20.031,1271.500
feabcls,tai15_15_01,15,25.031,1271.500
feabcls,tai15_15_01,15,30.094,1271.500
feabcls,tai15_15_01,15,35.109,1271.500
feabcls,tai15_15_01,15,40.031,1271.500
feabcls,tai15_15_01,15,45.031,1271.500
feabcls,tai15_15_01,15,50.078,1271.500
feabcls,tai15_15_01,15,55.000,1271.500
feabcls,tai15_15_01,15,60.062,1271.500
feabcls,tai15_15_01,16,0.031,1561.500
feabcls,tai15_15_01,16,5.109,1279.500
feabcls,tai15_15_01,16,10.062,1258.500
feabcls,tai15_15_01,16,15.078,1258.500
feabcls,tai15_15_01,16,20.125,1258.500
feabcls,tai15_15_01,16,25.141,1258.500
feabcls,tai15_15_01,16,30.062,1258.500
feabcls,tai15_15_01,16,35.172,1258.500
feabcls,tai15_15_01,16,40.141,1258.500
feabcls,tai15_15_01,16,45.109,1258.500
feabcls,tai15_15_01,16,50.094,1258.500
feabcls,tai15_15_01,16,55.109,1258.500
feabcls,tai15_15_01,16,60.031,1258.500
feabcls,tai15_15_01,17,0.031,1570.000
feabcls,tai15_15_01,17,5.156,1270.000
feabcls,tai15_15_01,17,10.000,1262.000
feabcls,tai15_15_01,17,15.016,1262.000
feabcls,tai15_15_01,17,20.078,1262.000
feabcls,tai15_15_01,17,25.078,1262.000
feabcls,tai15_15_01,17,30.078,1262.000
feabcls,tai15_15_01,17,35.016,1262.000
feabcls,tai15_15_01,17,40.109,1262.000
feabcls,tai15_15_01,17,45.094,1262.000
feabcls,tai15_15_01,17,50.078,1262.000
feabcls,tai15_15_01,17,55.031,1262.000
feabcls,tai15_15_01,18,0.016,1520.500
feabcls,tai15_15_01,18,5.188,1262.000
feabcls,tai15_15_01,18,10.047,1262.000
feabcls,tai15_15_01,18,15.094,1262.000
feabcls,tai15_15_01,18,20.141,1262.000
feabcls,tai15_15_01,18,25.156,1262.000
feabcls,tai15_15_01,18,30.094,1262.000
feabcls,tai15_15_01,18,35.125,1262.000
feabcls,tai15_15_01,18,40.094,1262.000
feabcls,tai15_15_01,18,45.047,1262.000
feabcls,tai15_15_01,18,50.156,1262.000
feabcls,tai15_15_01,18,55.062,1262.000
feabcls,tai15_15_01,18,60.031,1262.000
feabcls,tai15_15_01,19,0.031,1494.000
feabcls,tai15_15_01,19,5.141,1262.000
feabcls,tai15_15_01,19,10.078,1262.000
feabcls,tai15_15_01,19,15.156,1262.000
feabcls,tai15_15_01,19,20.156,1262.000
feabcls,tai15_15_01,19,25.078,1262.000
feabcls,tai15_15_01,19,30.031,1262.000
feabcls,tai15_15_01,19,35.125,1262.000
feabcls,tai15_15_01,19,40.125,1262.000
feabcls,tai15_15_01,19,45.062,1262.000
feabcls,tai15_15_01,19,50.141,1262.000
feabcls,tai15_15_01,19,55.125,1262.000
feabcls,tai15_15_01,19,60.062,1262.000
feabcls,tai15_15_01,20,0.016,1568.500
feabcls,tai15_15_01,20,5.109,1264.000
feabcls,tai15_15_01,20,10.016,1248.000
feabcls,tai15_15_01,20,15.031,1248.000
feabcls,tai15_15_01,20,20.047,1248.000
feabcls,tai15_15_01,20,25.094,1248.000
feabcls,tai15_15_01,20,30.031,1248.000
feabcls,tai15_15_01,20,35.078,1248.000
feabcls,tai15_15_01,20,40.047,1248.000
feabcls,tai15_15_01,20,45.109,1248.000
feabcls,tai15_15_01,20,50.109,1248.000
feabcls,tai15_15_01,20,55.125,1248.000
feabcls,tai15_15_01,20,60.094,1248.000
feabcls,tai15_15_01,21,0.031,1539.000
feabcls,tai15_15_01,21,5.156,1270.000
feabcls,tai15_15_01,21,10.109,1268.500
feabcls,tai15_15_01,21,15.047,1268.500
feabcls,tai15_15_01,21,20.109,1268.500
feabcls,tai15_15_01,21,25.078,1268.500
feabcls,tai15_15_01,21,30.125,1268.500
feabcls,tai15_15_01,21,35.062,1268.500
feabcls,tai15_15_01,21,40.125,1268.500
feabcls,tai15_15_01,21,45.078,1268.500
feabcls,tai15_15_01,21,50.141,1268.500
feabcls,tai15_15_01,21,55.094,1268.500
feabcls,tai15_15_01,21,60.062,1268.500
feabcls,tai15_15_01,22,0.016,1542.500
feabcls,tai15_15_01,22,5.141,1265.500
feabcls,tai15_15_01,22,10.172,1257.500
feabcls,tai15_15_01,22,15.016,1257.500
feabcls,tai15_15_01,22,20.125,1255.500
feabcls,tai15_15_01,22,25.062,1255.500
feabcls,tai15_15_01,22,30.047,1255.500
feabcls,tai15_15_01,22,35.000,1255.500
feabcls,tai15_15_01,22,40.031,1255.500
feabcls,tai15_15_01,22,45.031,1255.500
feabcls,tai15_15_01,22,50.000,1255.500
feabcls,tai15_15_01,22,55.141,1255.500
