algo,inst,clase,arm,run,ecmax
abce3,tai15_15_01,15x15,V2H,4,1302.0
abce3,tai15_15_01,15x15,V2H,5,1304.5
abce3,tai15_15_01,15x15,V2H,6,1284.0
abce3,tai15_15_01,15x15,V2H,7,1305.0
abce3,tai15_15_01,15x15,V2H,8,1299.5
abce3,tai15_15_01,15x15,V2H,9,1300.0
abce3,tai15_15_01,15x15,V2H,10,1307.5
abce3,tai15_15_01,15x15,V2H,11,1297.0
abce3,tai15_15_01,15x15,V2H,12,1296.0
abce3,tai15_15_01,15x15,V2H,13,1299.0
abce3,tai15_15_01,15x15,V2H,14,1293.0
abce3,tai15_15_01,15x15,V2H,15,1301.5
abce3,tai15_15_01,15x15,V2H,16,1278.5
abce3,tai15_15_01,15x15,V2H,17,1297.0
abce3,tai15_15_01,15x15,V2H,18,1310.0
abce3,tai15_15_01,15x15,V2H,19,1290.5
abce3,tai15_15_01,15x15,V2H,20,1302.0
abce3,tai15_15_01,15x15,V2H,21,1310.5
abce3,tai15_15_01,15x15,V2H,22,1302.5
abce3,tai15_15_01,15x15,V2H,23,1318.5
abce3,tai15_15_01,15x15,V2H,24,1294.5
abce3,tai15_15_01,15x15,V2H,25,1314.0
abce3,tai15_15_01,15x15,V2H,26,1304.0
abce3,tai15_15_01,15x15,V2H,27,1314.0
abce3,tai15_15_01,15x15,V2H,28,1304.5
abce3,tai15_15_01,15x15,V2H,29,1306.5
abce3,tai15_15_01,15x15,V2H,30,1301.5
abce3,tai15_15_01,15x15,V2,1,1318.0
abce3,tai15_15_01,15x15,V2,2,1287.5
abce3,tai15_15_01,15x15,V2,3,1314.0
abce3,tai15_15_01,15x15,V2,4,1298.0
abce3,tai15_15_01,15x15,V2,5,1271.0
abce3,tai15_15_01,15x15,V2,6,1300.5
abce3,tai15_15_01,15x15,V2,7,1321.5
abce3,tai15_15_01,15x15,V2,8,1317.0
abce3,tai15_15_01,15x15,V2,9,1296.0
abce3,tai15_15_01,15x15,V2,10,1297.5
abce3,tai15_15_01,15x15,V2,11,1307.0
abce3,tai15_15_01,15x15,V2,12,1285.0
abce3,tai15_15_01,15x15,V2,13,1298.0
abce3,tai15_15_01,15x15,V2,14,1299.5
abce3,tai15_15_01,15x15,V2,15,1306.0
abce3,tai15_15_01,15x15,V2,16,1291.5
abce3,tai15_15_01,15x15,V2,17,1310.5
abce3,tai15_15_01,15x15,V2,18,1314.5
abce3,tai15_15_01,15x15,V2,19,1310.5
abce3,tai15_15_01,15x15,V2,20,1290.5
abce3,tai15_15_01,15x15,V2,21,1296.0
abce3,tai15_15_01,15x15,V2,22,1310.5
abce3,tai15_15_01,15x15,V2,23,1290.0
abce3,tai15_15_01,15x15,V2,24,1302.0
abce3,tai15_15_01,15x15,V2,25,1302.5
abce3,tai15_15_01,15x15,V2,26,1296.5
abce3,tai15_15_01,15x15,V2,27,1308.0
abce3,tai15_15_01,15x15,V2,28,1303.0
abce3,tai15_15_01,15x15,V2,29,1301.0
abce3,tai15_15_01,15x15,V2,30,1290.5
abce3,tai15_15_01,15x15,MOR,1,1303.0
abce3,tai15_15_01,15x15,MOR,2,1294.0
abce3,tai15_15_01,15x15,MOR,3,1287.5
abce3,tai15_15_01,15x15,MOR,4,1297.5
abce3,tai15_15_01,15x15,MOR,5,1292.0
abce3,tai15_15_01,15x15,MOR,6,1322.5
abce3,tai15_15_01,15x15,MOR,7,1313.0
abce3,tai15_15_01,15x15,MOR,8,1290.0
abce3,tai15_15_01,15x15,MOR,9,1311.5
abce3,tai15_15_01,15x15,MOR,10,1261.5
abce3,tai15_15_01,15x15,MOR,11,1313.0
abce3,tai15_15_01,15x15,MOR,12,1291.5
abce3,tai15_15_01,15x15,MOR,13,1309.5
abce3,tai15_15_01,15x15,MOR,14,1313.5
abce3,tai15_15_01,15x15,MOR,15,1304.0
abce3,tai15_15_01,15x15,MOR,16,1298.0
abce3,tai15_15_01,15x15,MOR,17,1320.0
abce3,tai15_15_01,15x15,MOR,18,1305.5
abce3,tai15_15_01,15x15,MOR,19,1297.0
abce3,tai15_15_01,15x15,MOR,20,1302.5
abce3,tai15_15_01,15x15,MOR,21,1299.0
abce3,tai15_15_01,15x15,MOR,22,1310.0
abce3,tai15_15_01,15x15,MOR,23,1309.0
abce3,tai15_15_01,15x15,MOR,24,1320.0
abce3,tai15_15_01,15x15,MOR,25,1309.0
abce3,tai15_15_01,15x15,MOR,26,1308.5
abce3,tai15_15_01,15x15,MOR,27,1318.0
abce3,tai15_15_01,15x15,MOR,28,1312.5
abce3,tai15_15_01,15x15,MOR,29,1315.0
abce3,tai15_15_01,15x15,MOR,30,1297.5
abce3,tai15_15_01,15x15,GT,1,1316.0
abce3,tai15_15_01,15x15,GT,2,1307.0
abce3,tai15_15_01,15x15,GT,3,1313.0
abce3,tai15_15_01,15x15,GT,4,1317.0
abce3,tai15_15_01,15x15,GT,5,1313.5
abce3,tai15_15_01,15x15,GT,6,1314.5
abce3,tai15_15_01,15x15,GT,7,1322.0
abce3,tai15_15_01,15x15,GT,8,1290.5
abce3,tai15_15_01,15x15,GT,9,1303.5
abce3,tai15_15_01,15x15,GT,10,1296.0
abce3,tai15_15_01,15x15,GT,11,1306.0
abce3,tai15_15_01,15x15,GT,12,1295.0
abce3,tai15_15_01,15x15,GT,13,1306.5
abce3,tai15_15_01,15x15,GT,14,1311.0
abce3,tai15_15_01,15x15,GT,15,1280.5
abce3,tai15_15_01,15x15,GT,16,1306.0
abce3,tai15_15_01,15x15,GT,17,1312.5
abce3,tai15_15_01,15x15,GT,18,1301.0
abce3,tai15_15_01,15x15,GT,19,1299.5
abce3,tai15_15_01,15x15,GT,20,1291.0
abce3,tai15_15_01,15x15,GT,21,1307.0
abce3,tai15_15_01,15x15,GT,22,1291.0
abce3,tai15_15_01,15x15,GT,23,1318.5
abce3,tai15_15_01,15x15,GT,24,1304.0
abce3,tai15_15_01,15x15,GT,25,1310.0
abce3,tai15_15_01,15x15,GT,26,1294.0
abce3,tai15_15_01,15x15,GT,27,1294.0
abce3,tai15_15_01,15x15,GT,28,1301.0
abce3,tai15_15_01,15x15,GT,29,1304.0
abce3,tai15_15_01,15x15,GT,30,1294.5
