"algo","inst","q_a0","q_arm","q_pool","gap","delta","ayuda"
"abce3","tai30_15_10",1897.43333333333,1895.05,2101.92,10.7770145635332,-0.12560827784903,TRUE
"abce3","tai30_20_01",2330.36666666667,2294.31666666667,2517.56,8.03278454034414,-1.54696685786215,TRUE
"abce3","tai30_20_02",2242.33333333333,2182.1,2411.89,7.56161736286605,-2.6861899806749,TRUE
"abce3","tai30_20_03",2162.7,2125.45,2317.51,7.15818190225183,-1.72238405696583,TRUE
"abce3","tai30_20_04",2262.61666666667,2240.35,2444.88,8.05542255647959,-0.984111316543539,TRUE
"abce3","tai30_20_05",2227.38333333333,2201.41666666667,2401.51,7.81754375462989,-1.16579244704175,TRUE
"abce3","tai30_20_06",2308.46666666667,2286.08333333333,2448.12,6.04961446270251,-0.96961908337424,TRUE
"abce3","tai30_20_07",2210.21666666667,2141.2,2278.1,3.07134293018029,-3.12261995430313,TRUE
"abce3","tai30_20_08",2218.1,2221.9,2386.48,7.59118164194581,0.171317794508822,FALSE
"abce3","tai30_20_09",2224.1,2220.4,2444.79,9.92266534778113,-0.166359426284781,TRUE
"abce3","tai30_20_10",2227.73333333333,2201.2,2413.7,8.34779746229351,-1.19104620541058,TRUE
"abce3","tai50_15_01",3037.51666666667,2946.95,3392.87,11.698810980461,-2.98160229573502,TRUE
"abce3","tai50_15_02",2975.28333333333,2936.78333333333,3238.63,8.85114582924876,-1.29399440949601,TRUE
"abce3","tai50_15_03",2906.53333333333,2869.6,3123.04,7.44896554887839,-1.27070049084821,TRUE
"abce3","tai50_15_04",2968.78333333333,2917.66666666667,3151.73,6.16234484384737,-1.72180522885357,TRUE
"abce3","tai50_15_05",2948.48333333333,2946.03333333333,3241.42,9.93516440655931,-0.0830935678795251,TRUE
"abce3","tai50_15_06",2963.36666666667,2916.43333333333,3201.25,8.0274687573818,-1.58378420940147,TRUE
"abce3","tai50_15_07",3112.45,3085.9,3412.13,9.6284277659079,-0.853025751417685,TRUE
"abce3","tai50_15_08",3094.38333333333,3035.96666666667,3325.47,7.46793922321625,-1.88782902355342,TRUE
"abce3","tai50_15_09",2907.45,2875.8,3203.19,10.171800030955,-1.08858277872361,TRUE
"abce3","tai50_15_10",2935.5,2903.21666666667,3104.93,5.77175949582694,-1.09975586214728,TRUE
"abce3","tai50_20_01",3192.76666666667,3174.01666666667,3439.25,7.72005470699393,-0.58726496351127,TRUE
"abce3","tai50_20_02",3271.75,3231.63333333333,3470.71,6.08114923206235,-1.22615318000051,TRUE
"abce3","tai50_20_03",3071.1,3032.08333333333,3257.77,6.07827814138257,-1.27044598569459,TRUE
"abce3","tai50_20_04",3002.38333333333,2947.6,3126.76,4.14259782506121,-1.82466151890443,TRUE
"abce3","tai50_20_05",3063.4,3021.18333333333,3331.53,8.75269308611347,-1.37809840917499,TRUE
"abce3","tai50_20_06",3153.56666666667,3122.78333333333,3371.13,6.89896096483347,-0.976143414335091,TRUE
"abce3","tai50_20_07",3150.01666666667,3094.16666666667,3337.22,5.94293151888084,-1.77300649202915,TRUE
"abce3","tai50_20_08",3060.9,3012.36666666667,3224.33,5.3392792969388,-1.58559029479347,TRUE
"abce3","tai50_20_09",3333.78333333333,3288.13333333333,3571.28,7.12393826833378,-1.36931514245577,TRUE
"abce3","tai50_20_10",3352.48333333333,3332.58333333333,3615.49,7.84512972970286,-0.593589826447051,TRUE
"ga","ft10",944.616666666667,945.933333333333,1079.86,14.3172715563632,0.139386347195505,FALSE
"ga","tai15_15_01",1293.43333333333,1281.53333333333,1474.29,13.982681751411,-0.920031956292046,TRUE
"ga","tai15_15_02",1283.43333333333,1290.11666666667,1436.59,11.9333558424019,0.520738643742033,FALSE
"ga","tai15_15_03",1273.51666666667,1276.83333333333,1442.86,13.2973001269451,0.260433707188751,FALSE
"ga","tai15_15_04",1225.46666666667,1228.35,1409.47,15.0149602872375,0.235284517462725,FALSE
"ga","tai15_15_05",1275.06666666667,1271.85,1410.69,10.6365680225871,-0.252274390881525,TRUE
"ga","tai15_15_06",1288.36666666667,1283.31666666667,1414.11,9.7599027192052,-0.391969159918239,TRUE
"ga","tai15_15_07",1266.68333333333,1265.16666666667,1405.26,10.9401192089578,-0.119735266641227,TRUE
"ga","tai15_15_08",1259.26666666667,1278.91666666667,1425.95,13.2365397850601,1.56043199745885,FALSE
"ga","tai15_15_09",1348.38333333333,1329.25,1523.02,12.951559274687,-1.4189832268272,TRUE
"ga","tai15_15_10",1307.98333333333,1296.78333333333,1461.07,11.7040227321959,-0.856280023955457,TRUE
"ga","tai20_20_01",1744.85,1745.76666666667,1941.24,11.2554087743932,0.0525355570201876,FALSE
"ga","tai20_20_02",1698.13333333333,1693.26666666667,1902.28,12.0218278894472,-0.286589195979907,TRUE
"ga","tai20_20_03",1664.88333333333,1657.53333333333,1829.12,9.86475528815832,-0.441472375441731,TRUE
"ga","tai20_20_04",1772.71666666667,1784.98333333333,1903.05,7.35218073954288,0.691969951956977,FALSE
"ga","tai20_20_05",1709.51666666667,1729.81666666667,1886.75,10.3674527888,1.18747014263291,FALSE
"ga","tai20_20_06",1755,1745.33333333333,1912.15,8.95441595441596,-0.550807217473888,TRUE
"ga","tai20_20_07",1790.85,1792.9,1997.43,11.5353044643605,0.114470782030889,FALSE
"ga","tai20_20_08",1714.28333333333,1700.36666666667,1885.54,9.98998609720291,-0.811806683064842,TRUE
"ga","tai20_20_09",1727.35,1703.93333333333,1906.4,10.3655889078647,-1.35564110728379,TRUE
"ga","tai20_20_10",1678.56666666667,1685.93333333333,1902.97,13.368747145382,0.438866493238286,FALSE
"ga","tai30_15_01",1884.6,1902.55,2169.98,15.1427358590682,0.952456754749021,FALSE
"ga","tai30_15_02",1962.56666666667,1972.75,2226.59,13.4529612582163,0.518878339589316,FALSE
"ga","tai30_15_03",1964.08333333333,1956.31666666667,2265.74,15.3586490729348,-0.395434681148966,TRUE
"ga","tai30_15_04",1951.18333333333,1971.13333333333,2217.98,13.6735826976792,1.02245645804683,FALSE
"ga","tai30_15_05",2053.91666666667,2084.38333333333,2209.19,7.55986529800788,1.48334482898527,FALSE
"ga","tai30_15_06",1965.11666666667,1954.55,2229.24,13.440593009745,-0.537711925500603,TRUE
"ga","tai30_15_07",1916.93333333333,1915.81666666667,2224.25,16.031682548515,-0.0582527648327252,TRUE
"ga","tai30_15_08",1807.65,1849.31666666667,2040.23,12.8664287887589,2.30501848624825,FALSE
"ga","tai30_15_09",1882.21666666667,1924.88333333333,2117.35,12.4923627283433,2.26683077576971,FALSE
"ga","tai30_15_10",1832.06666666667,1826.5,2101.92,14.7294494377934,-0.303846293802988,TRUE
"ga","tai30_20_01",2239.93333333333,2241.38333333333,2517.56,12.3944165004911,0.064734069466345,FALSE
"ga","tai30_20_02",2140.91666666667,2127.11666666667,2411.89,12.6568837336032,-0.644583706356299,TRUE
"ga","tai30_20_03",2088.03333333333,2113.46666666667,2317.51,10.9900863651602,1.21805207451989,FALSE
"ga","tai30_20_04",2139.56666666667,2175.85,2444.88,14.2698677302258,1.69582625765342,FALSE
"ga","tai30_20_05",2141.35,2174.36666666667,2401.51,12.1493450393444,1.54186222087314,FALSE
"ga","tai30_20_06",2251.93333333333,2329.43333333333,2448.12,8.7119216080997,3.44148731460375,FALSE
"ga","tai30_20_07",2107.9,2166.53333333333,2278.1,8.0743868304948,2.78159938010974,FALSE
"ga","tai30_20_08",2132.26666666667,2193.53333333333,2386.48,11.9222111055528,2.8733116558279,FALSE
