"inst","clase","arm","frac","rpd"
"tai30_15_05","30x15","MOR",0.1,1.63428001993024
"tai30_15_05","30x15","GT",0.1,1.03637269556552
"tai30_15_05","30x15","GP",0.1,1.79372197309417
"tai30_15_05","30x15","MIX",0.1,1.66417538614848
"tai30_15_05","30x15","A0",0.25,0.473343298455406
"tai30_15_05","30x15","V2H",0.25,1.19581464872945
"tai30_15_05","30x15","V2",0.25,1.27553562531141
"tai30_15_05","30x15","MOR",0.25,1.2954658694569
"tai30_15_05","30x15","GT",0.25,0.662680617837566
"tai30_15_05","30x15","GP",0.25,0.777279521674136
"tai30_15_05","30x15","MIX",0.25,0.727453911310409
"tai30_15_05","30x15","A0",0.5,0.49825610363727
"tai30_15_05","30x15","V2H",0.5,0.398604882909816
"tai30_15_05","30x15","V2",0.5,1.01644245142003
"tai30_15_05","30x15","MOR",0.5,0.563029397110112
"tai30_15_05","30x15","GT",0.5,0.264075734927751
"tai30_15_05","30x15","GP",0.5,0.353761833582457
"tai30_15_05","30x15","MIX",0.5,0.214250124564024
"tai30_15_05","30x15","A0",1,0.388639760837068
"tai30_15_05","30x15","V2H",1,0.577977080219228
"tai30_15_05","30x15","V2",1,0.697558545092177
"tai30_15_05","30x15","MOR",1,0.438465371200795
"tai30_15_05","30x15","GT",1,0.134529147982065
"tai30_15_05","30x15","GP",1,0.577977080219228
"tai30_15_05","30x15","MIX",1,0.518186347782765
"tai30_15_06","30x15","A0",0.05,8.38985313751668
"tai30_15_06","30x15","V2H",0.05,6.21628838451269
"tai30_15_06","30x15","V2",0.05,6.35514018691589
"tai30_15_06","30x15","MOR",0.05,7.80774365821095
"tai30_15_06","30x15","GT",0.05,6.42456608811749
"tai30_15_06","30x15","GP",0.05,6.77703604806409
"tai30_15_06","30x15","MIX",0.05,6.50467289719626
"tai30_15_06","30x15","A0",0.1,3.48197596795728
"tai30_15_06","30x15","V2H",0.1,3.40720961281709
"tai30_15_06","30x15","V2",0.1,2.78771695594126
"tai30_15_06","30x15","MOR",0.1,4.73164218958611
"tai30_15_06","30x15","GT",0.1,3.96795727636849
"tai30_15_06","30x15","GP",0.1,4.28838451268358
"tai30_15_06","30x15","MIX",0.1,3.18291054739652
"tai30_15_06","30x15","A0",0.25,0.112149532710276
"tai30_15_06","30x15","V2H",0.25,0.192256341789047
"tai30_15_06","30x15","V2",0.25,0.688918558077441
"tai30_15_06","30x15","MOR",0.25,2.9799732977303
"tai30_15_06","30x15","GT",0.25,1.28704939919893
"tai30_15_06","30x15","GP",0.25,0.779706275033373
"tai30_15_06","30x15","MIX",0.25,0.336448598130839
"tai30_15_06","30x15","A0",0.5,0.122830440587448
"tai30_15_06","30x15","V2H",0.5,-0.320427236315087
"tai30_15_06","30x15","V2",0.5,-0.010680907877172
"tai30_15_06","30x15","MOR",0.5,2.37116154873165
"tai30_15_06","30x15","GT",0.5,0.154873164218963
"tai30_15_06","30x15","GP",0.5,0.00534045393857992
"tai30_15_06","30x15","MIX",0.5,-0.357810413885183
"tai30_15_06","30x15","A0",1,0.202937249666219
"tai30_15_06","30x15","V2H",1,-0.0267022696929239
